ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Recency_scaled,Income_scaled,Total_Spending,Total_Spending_scaled,Total_Purchases,Total_Purchases_scaled,Total_Campaign_Response,Cluster
6260,1955,3,0.25892857142857145,82384.0,0,0,19-11-2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,0.20343374751597101,1.4206960011287815,1957,2.2435975992019674,26,1.8682672550794222,2,1
10383,1966,2,0.10357142857142858,70287.0,0,0,02-04-2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,-0.6599455522865585,0.855569414605703,1093,0.8087143388490217,20,1.0354879629984295,1,1
7437,1988,2,0.21428571428571427,27938.0,1,0,28-04-2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,-0.6254103802944573,-1.1228174426866708,29,-0.9583178243634021,5,-1.0464602672040522,0,0
8557,1982,2,0.21428571428571427,52247.0,1,0,17-06-2013,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,0.27250409150017335,0.012808100157795783,46,-0.9300851676203464,5,-1.0464602672040522,0,0
8375,1968,4,0.38571428571428573,55954.0,0,1,03-03-2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,0.47971512345278045,0.18598527269983525,518,-0.14621375687197802,16,0.48030176827776777,0,1
6853,1982,3,0.21428571428571427,75777.0,0,0,04-07-2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,-1.2815786481443796,1.1120416771511028,1438,1.3816711962816215,20,1.0354879629984295,3,1
3076,1975,2,0.25892857142857145,66653.0,1,1,07-09-2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,-1.0743676161917726,0.6858025289791124,612,0.009896227471976715,18,0.7578948656380986,0,1
1012,1952,2,0.21428571428571427,61823.0,0,1,18-02-2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,-0.7980862402549632,0.46016299745009953,884,0.461618735360867,20,1.0354879629984295,0,1
6518,1951,4,0.034375,67680.0,0,1,11-06-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,-1.4197193361127844,0.733780127090975,606,-6.823961380763022e-05,18,0.7578948656380986,0,1
4137,1948,2,0.25892857142857145,70666.0,0,0,06-12-2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,-0.6944807242786596,0.8732748768105676,1076,0.780481682105966,15,0.3415052195976023,0,1
8082,1971,2,0.38571428571428573,25721.0,1,0,21-05-2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,0.8941371873579945,-1.226387389146261,34,-0.9500141017919151,4,-1.1852568158842176,1,0
1386,1967,2,0.25892857142857145,32474.0,1,1,11-05-2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,-1.696000712049594,-0.9109124913376848,11,-0.9882112256207551,3,-1.324053364564383,0,0
9369,1979,5,0.21428571428571427,88194.0,0,1,19-03-2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,-1.0398324441996714,1.692117466591217,1274,1.1093090959368495,31,2.562249998480249,3,1
4477,1958,2,0.25892857142857145,69096.0,0,1,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,-1.557860024081189,0.7999303499988595,653,0.07798675255816974,17,0.6190983169579332,0,1
1357,1970,2,0.25892857142857145,74854.0,1,2,08-04-2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,1.4121647672395123,1.0689225699872769,1562,1.587603516054498,12,-0.07488442644289399,0,1
1402,1954,3,0.38571428571428573,66991.0,0,0,11-09-2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,-1.6614655400574927,0.7015926245602317,1253,1.0744334611366042,18,0.7578948656380986,0,1
10629,1973,5,0.38571428571428573,52247.0,1,0,14-09-2012,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,-0.8326214122470643,0.012808100157795783,109,-0.8254582632196109,6,-0.9076637185238866,0,0
6312,1959,2,0.38571428571428573,65031.0,0,1,17-03-2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,-0.6944807242786596,0.610028756693386,863,0.4267431005606218,26,1.8682672550794222,0,1
8132,1975,4,0.38571428571428573,60631.0,1,1,05-04-2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,1.34309442325531,0.40447721658414026,661,0.09127270867254886,19,0.896691414318264,1,1
1050,1952,2,0.38571428571428573,28332.0,0,0,30-04-2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,0.30703926349227456,-1.1044112365950702,65,-0.898531021848696,7,-0.7688671698437212,0,0
5846,1977,2,0.10357142857142858,40246.0,1,0,19-12-2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,0.6523909834132863,-0.5478337254901717,13,-0.9848897365921604,3,-1.324053364564383,0,0
1859,1972,3,0.38571428571428573,75251.0,0,0,27-08-2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,-0.5218048643181538,1.0874689248562248,1890,2.132327716744042,18,0.7578948656380986,1,1
7503,1976,2,0.21428571428571427,75825.0,0,0,12-10-2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,-0.31459383236554667,1.1142840575886581,2209,2.66210521680491,22,1.3130810603587604,2,1
10401,1976,5,0.25892857142857145,26326.0,0,0,04-09-2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,-1.2815786481443796,-1.19812405238124,18,-0.9765860140206735,3,-1.324053364564383,0,0
1618,1965,2,0.25892857142857145,56046.0,0,0,02-01-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,-1.3851841641206832,0.19028316853848312,692,0.142755788615768,19,0.896691414318264,2,1
3332,1985,2,0.21428571428571427,29760.0,1,0,29-08-2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,1.3085592512632087,-1.0377004185777967,165,-0.732456570418957,8,-0.6300706211635557,0,0
2261,1969,2,0.38571428571428573,26304.0,1,0,23-06-2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,-1.5233248520890879,-1.1991518100817862,16,-0.9799075030492682,3,-1.324053364564383,0,0
5346,1973,5,0.38571428571428573,23559.0,1,0,03-07-2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,1.3085592512632087,-1.327387941354486,79,-0.8752805986485326,6,-0.9076637185238866,0,0
4119,1963,3,0.25892857142857145,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,0.2379689195080722,-0.6237943628123612,318,-0.4783626597314562,10,-0.3524775238032249,0,0
535,1987,2,0.10357142857142858,81361.0,0,0,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,-1.0743676161917726,1.3729052680533818,778,0.2855798168453436,26,1.8682672550794222,0,1
5268,1960,2,0.38571428571428573,29440.0,1,1,11-08-2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,1.5848406272000182,-1.0526496214948329,56,-0.9134777224773726,5,-1.0464602672040522,0,0
273,1970,3,0.38571428571428573,36138.0,1,1,16-07-2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,-0.03831245642873724,-0.7397441179376221,151,-0.7557069936191204,8,-0.6300706211635557,1,0
4452,1957,2,0.21428571428571427,50388.0,0,1,28-05-2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,-1.5923951960732903,-0.07403742553836051,372,-0.3886824559593971,13,0.06391212223727145,3,1
8504,1973,2,0.38571428571428573,79593.0,0,0,12-05-2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,0.7214613273974887,1.2903109219367577,1366,1.2620975912522094,18,0.7578948656380986,1,1
771,1967,2,0.25892857142857145,54178.0,0,1,21-01-2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,1.0322778753263993,0.10301719651028518,194,-0.6842949795043326,9,-0.4912740724833903,0,0
8996,1957,4,0.38571428571428573,52247.0,2,1,19-11-2012,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,-1.557860024081189,0.012808100157795783,603,-0.005050473156699802,17,0.6190983169579332,0,1
9235,1957,2,0.21428571428571427,52247.0,1,1,27-05-2014,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,-0.14191797240504078,0.012808100157795783,18,-0.9765860140206735,3,-1.324053364564383,0,0
5798,1973,3,0.25892857142857145,52247.0,0,0,23-11-2013,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,1.3085592512632087,0.012808100157795783,985,0.6293539313049035,14,0.20270867091743688,0,1
11178,1972,3,0.21428571428571427,42394.0,1,0,23-03-2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,0.6869261554053875,-0.4474872009095673,32,-0.95333559082051,4,-1.1852568158842176,0,0
2230,1970,4,0.38571428571428573,23626.0,1,0,24-05-2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,1.204953735286905,-1.3242579519937316,43,-0.9350674011632386,7,-0.7688671698437212,0,0
7516,1983,2,0.38571428571428573,30096.0,1,0,22-05-2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,-0.6599455522865585,-1.0220037555149089,45,-0.9317459121346439,5,-1.0464602672040522,0,0
7247,1960,2,0.034375,47916.0,0,1,22-11-2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,0.790531671381691,-0.189520018072464,606,-6.823961380763022e-05,17,0.6190983169579332,1,1
11100,1972,2,0.10357142857142858,51813.0,1,1,11-04-2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,-0.4181993483418502,-0.007466756298434358,63,-0.9018525108772908,5,-1.0464602672040522,0,0
4646,1951,5,0.38571428571428573,78497.0,0,0,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,-0.17645314439714196,1.239109901945909,978,0.6177287197048218,24,1.5906741577190913,1,1
3037,1983,4,0.38571428571428573,50150.0,0,0,20-06-2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,-0.5908752083023561,-0.08515589520790608,410,-0.3255741644160962,14,0.20270867091743688,0,0
1473,1960,5,0.21428571428571427,47823.0,0,1,23-07-2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,-1.696000712049594,-0.1938646301702276,72,-0.8869058102486144,5,-1.0464602672040522,0,0
1016,1959,4,0.21428571428571427,34554.0,0,1,30-03-2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,-0.21098831638924315,-0.8137426723769505,55,-0.91513846699167,5,-1.0464602672040522,0,0
4518,1979,2,0.25892857142857145,85693.0,0,1,20-04-2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,0.3415744354843757,1.5752801025427572,1169,0.9349309219356234,25,1.7294707063992567,0,1
9370,1945,4,0.38571428571428573,65846.0,0,0,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,0.6523909834132863,0.6481025078727121,1120,0.8535544407350513,15,0.3415052195976023,0,1
8908,1959,2,0.38571428571428573,87195.0,0,0,08-05-2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,-0.48726969232605255,1.6454479237345951,1097,0.8153573169062113,19,0.896691414318264,1,1
8373,1979,1,0.25892857142857145,24594.0,1,0,10-12-2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,1.550305455207917,-1.2790366131696975,29,-0.9583178243634021,4,-1.1852568158842176,0,0
7533,1964,2,0.38571428571428573,49096.0,1,1,24-09-2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,-1.1779731321680762,-0.13439483231589355,187,-0.6959201911044144,9,-0.4912740724833903,0,0
2683,1969,2,0.38571428571428573,52413.0,0,2,02-02-2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,0.2379689195080722,0.020562999171008234,910,0.5047980927325991,22,1.3130810603587604,0,1
3629,1978,2,0.21428571428571427,38557.0,1,0,19-12-2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,-1.1089027881838738,-0.6267374871366527,145,-0.7656714607049048,7,-0.7688671698437212,0,0
10991,1960,3,0.38571428571428573,89058.0,0,0,07-12-2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,-1.0743676161917726,1.7324803144672145,850,0.4051534218747557,13,0.06391212223727145,0,1
5077,1979,2,0.25892857142857145,77298.0,0,1,02-11-2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,-0.1073828004129396,1.1830971072661396,969,0.6027820190761453,23,1.4518776090389258,0,1
